NS_code,Nation_State,TARG_HPI_trend_coeff,TARG_HPI_mean,CWGI_Gov_Effect_trend_coeff,CWGI_Gov_Effect_mean,CWGI_Poli_Stable_trend_coeff,CWGI_Poli_Stabl_mean,CWGI_Reg_Quality_trend_coeff,CWGI_Reg_Quality_mean,CWGI_Rule_of_Law_trend_coeff,CWGI_Rule_of_Law_mean,EW_Banks_per_cap_trend_coeff,EW_Banks_per_cap_mean,EW_Firms_Fem_trend_coeff,EW_Firms_Fem_mean,EW_GINI_trend_coeff,EW_GINI_mean,EW_Startup_Time_trend_coeff,EW_Startup_Time_mean,PTI_CPI_trend_coeff,PTI_CPI_mean,PW_Women_Legis_coeff,PW_Women_Legis_mean,PWGI_Corruption_Ctrl_coeff,PWGI_Corruption_Ctrl_mean,PWGI_Voice_Acct_coeff,PWGI_Voice_Acct_mean
CUB,Cuba,-0.024679257,1.64824431,0.020097182,-0.615597349,0.00885348,0.253921255,-0.007195918,-1.338445756,0.010219087,-0.897946302,,,,,,,,,0.006394,-0.793290535,0.333174878,35.95684754,-0.007631055,0.377519051,-0.006054265,-1.500608311
CYP,Cyprus,0.027179639,0.379847587,0.00098611,1.244070107,0.008295292,0.388977187,-0.002551556,1.222899521,0.007239593,0.918636636,-0.522003984,62.11519852,,,0.091293964,31.05416667,-0.019105515,7.833333333,0.058933333,0.218498693,0.375929681,7.082441338,-0.022292473,1.479546983,8.05172E-05,1.032787182
CZE,Czech Republic,0.057908889,-0.269623063,0.010510048,0.753524556,-0.003187177,0.966999152,0.001846373,1.037355939,0.005067811,0.87833228,0.042051877,21.48852151,-0.123446533,17.19597878,-0.010638413,26.46982803,-0.719740556,49.13541667,-0.005024368,0.332343798,0.132083152,16.44791667,-0.010675123,0.490802935,-0.000319082,0.975332926
DNK,Denmark,0.092726183,-0.113852107,0.002391351,1.973070414,-0.010597835,1.240225152,-0.000329764,1.78350288,0.006275141,1.864704108,-0.474358282,45.50068065,,,0.051894268,26.11458333,-0.066353669,6.822916667,0.03696125,0.888127046,0.228369513,34.2126794,-0.00010617,2.382151958,0.000515559,1.58388791
DJI,Djibouti,-0.066088882,-0.739545544,-0.000437481,-0.942248074,0.003352122,-0.440296469,0.010970822,-0.811425726,0.004876852,-0.890775101,0.083777081,2.944697516,0,14.2,0.07859016,40.94799923,-0.516717325,38.95833333,0.018440993,1.617739462,0.428726118,4.998958333,-0.000408556,-0.509614665,-0.012658312,-0.993143456
DOM,Dominican Republic,-0.11505205,1.265024255,-0.004282268,-0.433808887,0.006141208,-0.087618516,0.002824145,-0.195275228,-0.001444781,-0.53192442,0.042721564,10.49200427,0.147730888,12.38129849,-0.02260528,48.50819645,-1.559080547,61.88541667,0.016058534,-0.243639834,0.443372224,13.67159823,-0.019852632,-0.376370742,0.004542962,0.020525007
ECU,Ecuador,0.078921066,1.046552335,0.000122261,-0.654424221,0.01529662,-0.69058866,-0.024708087,-0.498973242,-0.016550261,-0.713789165,0.022600849,10.67580269,0.079408883,17.73740386,-0.084171906,50.49892769,-0.995359314,80.96875,0.020921818,-0.810060983,0.862772369,15.05751304,0.003020887,-0.875143152,-0.004497267,-0.193702763
EGY,Egypt,-0.081608842,0.170709848,-0.012850983,-0.343137765,-0.019065362,-0.733337449,-0.017305667,-0.221341959,-0.012958802,-0.091535197,0.022085683,4.00244226,-0.025593429,6.870833333,-0.027288062,31.52921324,-0.74853452,33.97916667,0.010419604,-0.501139815,0.122022186,4.604056885,-0.015598988,-0.278017766,-0.010772001,-0.895492832
SLV,El Salvador,-0.032004456,1.564022801,0.01867317,-0.486014231,0.007893457,-0.162488454,0.008533442,0.115424948,0.009877932,-0.790472288,0.023832531,11.84552076,0.095590575,22.29378138,-0.339784445,49.76043731,-2.596206036,85.17708333,,,0.366405716,15.80306308,0.016568379,-0.674820773,0.007002867,-0.056740281
EST,Estonia,0.059097647,-1.253012503,0.013750129,0.747471314,0.00062567,0.682039773,0.004307763,1.402477592,0.021723073,0.735189868,-0.09664013,17.6986388,-0.009076951,25.71146903,-0.190026698,37.02397145,-1.736946374,52.36458333,0.015499453,0.809136968,0.355036908,15.39583333,0.034814771,0.410501699,0.007688435,0.966984234
ETH,Ethiopia,0.106109895,-0.589421449,0.023199209,-0.975170158,-0.008769428,-1.207940638,0.010590124,-1.198333349,0.009896033,-0.796853108,0.040639164,1.241780279,-0.132624035,12.36764345,-0.35031804,38.8290926,-0.425640469,41.58333333,0.010013514,-1.181781191,0.804202128,11.17625,0.018663399,-0.889654299,-0.004023088,-1.148896283
FIN,Finland,0.089984233,0.15584244,0.007977642,1.972028232,0.001687228,1.385190815,0.010882364,1.637153119,0.004524161,1.930137486,-0.089232989,12.52624466,,,-0.009986974,27.6125,-0.399261832,26.25,0.023740772,-0.310794173,0.301373464,35.51038408,-0.002777114,2.351644407,0.000444679,1.568509125
FRA,France,0.103871425,0.14301292,0.001804031,1.469999751,-0.011120776,0.673031579,0.0063244,1.011355988,-0.00020492,1.432117672,0.448296955,26.85681976,,,0.029928354,31.69583333,-0.993269648,29.20833333,0.018620092,-0.967094052,0.551380774,13.41014315,0.002591998,1.301926335,-0.002618968,1.270575656
GAB,Gabon,-0.109121545,-0.646634623,-0.011487152,-0.501304731,0.008631057,0.113661043,-0.019623826,-0.176691476,0.004018537,-0.543565171,0.09411115,4.884880982,0,11.5,-0.073814777,41.45633984,-0.275184542,51.58333333,0.02971042,-0.628612479,0.039310588,12.79612314,0.010187457,-0.866052128,-0.016896994,-0.540708792
GEO,Georgia,0.076219479,0.247803826,0.028464822,-0.359281435,0.03485695,-1.268480345,0.046734651,-0.426027524,0.040484501,-0.974790128,0.458588962,15.05048652,0.231099288,22.0875,0.028495441,37.70833333,-0.569311767,18.72916667,-0.016898632,0.763561549,0.123635377,8.159724692,0.049390778,-0.789336772,0.012356985,-0.268833773
DEU,Germany,0.031143547,0.386698126,-0.005880437,1.765261526,-0.009395708,1.08602518,0.006946772,1.455794695,0.00535166,1.626858196,-0.187045898,19.29568239,,,0.059075266,29.86769978,-0.860887972,35.35416667,0.051444637,-0.188610102,0.225500977,29.18104167,-0.00558795,1.929323812,0.00254832,1.357867832
GHA,Ghana,-0.091545736,-0.242274699,-0.001144552,-0.117179049,0.008195807,-0.214361332,0.010718802,-0.245175073,0.010115656,-0.204512168,0.089595743,3.92937457,0,14.9,0.226076636,39.19898349,-0.208966565,18.58333333,0.04436764,-0.497437388,0.048305,9.50183795,0.002576129,-0.182159873,0.022902055,-0.054153513
GRC,Greece,0.021348122,-0.396259677,-0.009828403,0.703581836,-0.010095866,0.365536406,-0.002512634,0.655055778,-0.01398719,0.806921817,-0.081623662,33.78891431,0,17.2,0.07010964,33.56458333,-0.590208424,31.85416667,0.022873249,-0.821947125,0.328668534,10.47438152,-0.010649255,0.269762348,-0.007175439,0.911551336
GTM,Guatemala,-0.07348962,1.600498841,-0.00526732,-0.556713997,0.010982333,-0.927423697,0.000818405,-0.185139406,0.004741822,-1.120646574,0.340746699,21.70650663,0.037685571,16.04995437,-0.241566458,55.24481568,-0.333450934,37.69791667,-0.024117377,0.211340338,0.171747335,9.51199371,0.005781003,-0.739614996,-0.002626869,-0.300424465
GIN,Guinea,-0.101051954,-1.06294621,0.002860762,-1.166487589,-0.001711951,-1.29133994,-0.010990088,-0.836929872,0.003666977,-1.437836685,0.034094056,1.059264022,0,5.8,-0.329780452,42.7051654,-0.59118541,41.91666667,-0.002238455,-0.141718007,0.411220148,12.15958333,-0.017966386,-0.693268439,0.009181706,-1.237887129
GUY,Guyana,0.000672908,0.854822583,0.006190703,-0.296624996,0.000613884,-0.390598621,-0.010571134,-0.313330484,-0.006831162,-0.453053434,0.042759621,6.540390713,0,17.7,0,44.6,-0.519105515,36.625,-0.014335737,-0.686155504,-0.221472166,31.44333333,-0.006078007,-0.502259986,-0.003739699,0.23430535
HTI,Haiti,-0.003457094,0.227503581,-0.016418072,-1.407389322,-0.000857403,-0.95277763,0.001491108,-1.026382586,0.009838445,-1.57221061,-0.012283574,3.047017088,,,0,41.1,-3.528603995,222.0208333,0.026078334,-0.048816265,0.001746635,3.67375,-0.005615065,-1.210828544,-0.000516889,-0.863747262
